setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,total,positiu
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,35 a 39,3,1,0
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,35 a 39,4,1,1
20,2023,15/05/2023,21/05/2023,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,45 a 49,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,1 i 2,3,2,2
29,2022,18/07/2022,24/07/2022,64,GIRONA,6400,GIRONA,Dona,45 a 49,2,1,0
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Home,1 i 2,3,7,4
25,2022,20/06/2022,26/06/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,3 i 4,4,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,30 a 34,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,20 a 24,3,2,1
20,2023,15/05/2023,21/05/2023,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Home,40 a 44,3,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,60 a 64,2,2,2
19,2023,08/05/2023,14/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,35 a 39,3,2,1
20,2023,15/05/2023,21/05/2023,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Dona,70 a 74,3,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,45 a 49,2,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,20 a 24,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,55 a 59,3,1,0
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Dona,1 i 2,3,2,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,20 a 24,4,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,0,4,1,1
44,2022,31/10/2022,06/11/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,3,1,1
52,2022,26/12/2022,01/01/2023,00,No disponible,0000,No disponible,No disponible,No disponible,-1,1,1
44,2022,31/10/2022,06/11/2022,00,No disponible,0000,No disponible,No disponible,No disponible,-1,2,1
23,2022,06/06/2022,12/06/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,40 a 44,3,2,1
19,2023,08/05/2023,14/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,3,1,1
19,2023,08/05/2023,14/05/2023,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,30 a 34,4,1,1
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,70 a 74,4,1,1
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Home,3 i 4,3,2,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,15 a 19,4,1,1
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Dona,3 i 4,3,1,1
